,mission_id,geometry
399,ap070281,POINT (128.28048 49.56721)
400,ap067953,POINT (119.9117 47.3106)
401,ap075691,POINT (143.056503 59.410065)
402,ap067881,POINT (119.43263 50.75547)
403,ap072987,POINT (136.934006 50.409)
404,ap071447,POINT (133.11317 46.22518)
405,ap069911,POINT (127.10455 50.94216)
406,ap070791,POINT (129.569 44.524101)
407,ap071929,POINT (135.188588 48.528338)
408,ap071733,POINT (134.262501 58.783536)
409,ap070724,POINT (129.2167 50.8133)
410,ap071891,POINT (135.12234 48.61991)
411,ap071301,POINT (132.51626 47.69104)
412,ap070776,POINT (129.47744 49.49901)
413,ap068567,POINT (121.53238 53.35122)
414,ap075647,POINT (142.879772 53.517656)
415,ap070227,POINT (128.01829 49.59708)
416,ap067616,POINT (117.12101 49.8294)
417,ap070027,POINT (127.37618 48.73158)
418,ap075476,POINT (142.2399 45.19299)
419,ap067806,POINT (118.75466 50.01502)
420,ap075157,POINT (141.04496 45.29635)
421,ap071743,POINT (134.29517 48.27817)
422,ap071338,POINT (132.65792 47.108248)
423,ap071816,POINT (134.67752 48.10894)
424,ap070218,POINT (127.989703 54.1745)
425,ap075579,POINT (142.61593 44.67145)
426,ap067907,POINT (119.61225 51.29243)
427,ap069888,POINT (127.09716 50.95001)
428,ap071399,POINT (132.941573 51.136162)
429,ap068443,POINT (121.06297 53.30544)
430,ap070143,POINT (127.77367 50.42953)
431,ap068994,POINT (125.408997 58.602798)
432,ap071157,POINT (131.788731 59.028719)
433,ap075788,POINT (143.404007 44.303902)
434,ap075356,POINT (141.75893 45.10043)
435,ap075611,POINT (142.724157 50.62999)
436,ap069289,POINT (126.700099 45.663982)
437,ap068593,POINT (121.60142 53.36375)
438,ap068847,POINT (124.07478 53.39781)
439,ap071827,POINT (134.73577 48.26643)
440,ap068984,POINT (125.337052 49.236372)
441,ap067753,POINT (118.26919 49.75409)
442,ap070223,POINT (128.009995 50.691002)
443,ap074877,POINT (140.272795 49.094615)
444,ap068530,POINT (121.387768 48.425954)
445,ap067863,POINT (119.28984 50.1982)
446,ap070415,POINT (128.662691 53.004403)
447,ap070944,POINT (130.64346 48.12698)
448,ap071404,POINT (132.951004 53.076099)
449,ap075624,POINT (142.812395 46.616726)
450,ap072034,POINT (135.411571 48.407329)
451,ap075619,POINT (142.761002 50.669201)
452,ap070242,POINT (128.098328 51.455002)
453,ap075700,POINT (143.07366 44.19714)
454,ap067510,POINT (116.217003 50.75)
455,ap071597,POINT (133.735822 45.877949)
456,ap070928,POINT (130.56593 48.70882)
457,ap071073,POINT (131.193 45.293)
458,ap075666,POINT (142.95714 49.11047)
459,ap071999,POINT (135.285995 54.695999)
460,ap071822,POINT (134.70968 47.60612)
461,ap067858,POINT (119.25723 50.5872)
462,ap069065,POINT (125.798094 53.472467)
463,ap070087,POINT (127.54579 49.88574)
464,ap071517,POINT (133.35684 48.10031)
465,ap071621,POINT (133.867996 44.083302)
466,ap068850,POINT (124.1175 50.371389)
